year,proportion,ngram
1837,2.3330144880199707e-05,cotxe
1843,2.1176570242683496e-05,cotxe
1861,0.00010821925220496727,cotxe
1862,8.088913335382525e-06,cotxe
1865,1.4124094292453496e-05,cotxe
1866,2.4258302403997768e-05,cotxe
1868,2.6732487992657477e-05,cotxe
1869,8.624221125029646e-05,cotxe
1870,3.7243947858473e-05,cotxe
1871,2.2353861629596513e-05,cotxe
1872,3.5476628503950575e-05,cotxe
1873,5.839529723206291e-05,cotxe
1874,4.10896988125077e-05,cotxe
1875,6.754855052068675e-05,cotxe
1876,2.1437376065169624e-05,cotxe
1877,0.0001399972000559989,cotxe
1878,5.55933040953734e-05,cotxe
1879,4.44175471520024e-05,cotxe
1880,5.23335531342565e-06,cotxe
1881,5.5172413793103446e-05,cotxe
1882,0.00010353753235547887,cotxe
1883,0.00011006198227422812,cotxe
1884,3.721114846007864e-05,cotxe
1885,3.327328297976509e-05,cotxe
1886,7.761263533703287e-06,cotxe
1887,8.456302059109552e-05,cotxe
1888,9.445820950830869e-05,cotxe
1889,7.919027939320449e-05,cotxe
1890,0.00016551750229359968,cotxe
1891,0.0003791833818761334,cotxe
1892,0.00018020765466668514,cotxe
1893,7.644258070152449e-05,cotxe
1894,1.0422420711434438e-05,cotxe
1895,1.9260215136603077e-05,cotxe
1896,9.528498149883276e-05,cotxe
1897,0.00012606525137411124,cotxe
1898,8.111944838775097e-05,cotxe
1899,0.0002237814737814738,cotxe
1900,2.9411764705882354e-05,cotxe
1901,2.5828580874452434e-05,cotxe
1902,5.704766903224334e-05,cotxe
1903,8.892502350161335e-05,cotxe
1904,1.0515652548818917e-05,cotxe
1905,1.255470713634663e-05,cotxe
1906,0.0001362851691450377,cotxe
1907,3.657078556860539e-05,cotxe
1908,1.980452929584996e-05,cotxe
1909,0.00010704797371161276,cotxe
1910,3.989260909631273e-06,cotxe
1911,1.131906753521645e-05,cotxe
1912,1.2122240674966361e-05,cotxe
1913,4.0058084222122076e-05,cotxe
1914,7.419828750352442e-06,cotxe
1915,2.363574480959044e-05,cotxe
1916,1.269319035723715e-05,cotxe
1917,3.446986213778638e-05,cotxe
1918,2.6557502684204734e-05,cotxe
1919,1.1603051860484905e-05,cotxe
1920,3.2797997135641585e-05,cotxe
1921,1.4298037832608105e-05,cotxe
1922,8.139207580315326e-05,cotxe
1923,1.3710358023149179e-05,cotxe
1925,8.095553790578964e-05,cotxe
1926,3.289335972776259e-05,cotxe
1927,2.189212146332778e-05,cotxe
1928,2.6422246975695705e-05,cotxe
1929,1.8754923167331425e-05,cotxe
1930,5.138276736166617e-05,cotxe
1931,5.966007630939993e-05,cotxe
1932,2.256767928239531e-05,cotxe
1933,6.506589604713463e-05,cotxe
1934,4.2049474209941866e-05,cotxe
1935,9.794709717832636e-05,cotxe
1936,9.507587864272103e-05,cotxe
1937,8.259531330593642e-05,cotxe
1938,9.288342372090996e-05,cotxe
1939,8.482063968899099e-05,cotxe
1940,0.0005540102920262498,cotxe
1941,7.376496374978924e-05,cotxe
1942,6.426230444623744e-05,cotxe
1943,1.7063681659954952e-05,cotxe
1944,1.8203993956274005e-05,cotxe
1945,0.00015829985950887467,cotxe
1946,4.299065956269901e-05,cotxe
1947,4.509968585736058e-05,cotxe
1948,2.313204303983516e-05,cotxe
1949,3.7352108993454044e-05,cotxe
1950,1.43384798917158e-05,cotxe
1951,7.74449794909099e-05,cotxe
1952,8.854102105505481e-05,cotxe
1953,5.390759103999092e-05,cotxe
1954,7.422056983127951e-05,cotxe
1955,0.00011021678555073465,cotxe
1956,0.00012201389479444356,cotxe
1957,7.017588628954571e-05,cotxe
1958,4.5235028282662924e-05,cotxe
1959,4.642964618889987e-05,cotxe
1960,0.00012311112361763796,cotxe
1961,9.97385188497489e-05,cotxe
1962,4.051308862141676e-05,cotxe
1963,2.9765126095897823e-05,cotxe
1964,7.00751750906111e-05,cotxe
1965,4.278051989026797e-05,cotxe
1966,2.278188384596569e-05,cotxe
1967,7.530351928692178e-05,cotxe
1968,1.9882252880165244e-05,cotxe
1969,8.992138977451817e-05,cotxe
1970,0.00015020824324631877,cotxe
1971,7.016433382697176e-05,cotxe
1972,5.151954021672553e-05,cotxe
1973,4.340811587073063e-05,cotxe
1974,0.0001378376882134089,cotxe
1975,0.00010166968478561125,cotxe
1976,7.835737860091334e-05,cotxe
1977,8.830148513551891e-05,cotxe
1978,0.00011374345975106431,cotxe
1979,0.00015326196962770554,cotxe
1980,9.850408724493513e-05,cotxe
1981,0.00010357689560773744,cotxe
1982,3.7836694025866286e-05,cotxe
1983,7.840203793887468e-05,cotxe
1984,0.00018609819017218209,cotxe
1985,0.00023473270136067584,cotxe
1986,7.253014145449873e-05,cotxe
1987,0.00022960140822197043,cotxe
1988,0.00021301916320392181,cotxe
1989,0.00020333468889792598,cotxe
1990,8.974143249761625e-05,cotxe
1991,0.00014883233857743183,cotxe
1992,0.0001054583416789575,cotxe
1993,0.00015712239469145545,cotxe
1994,0.00012067102617211658,cotxe
1995,0.00012222340312466787,cotxe
1996,0.00017333372758259608,cotxe
1997,5.3437487855116395e-05,cotxe
1998,0.00011819304542472309,cotxe
1999,8.988183592812594e-05,cotxe
2000,7.093067493761325e-05,cotxe
2001,0.00016120633805801612,cotxe
2002,5.9225016647031704e-05,cotxe
2003,0.00011782164608060684,cotxe
2004,0.0001532595938866633,cotxe
2005,0.00021737372103368787,cotxe
2006,0.00013864015775187538,cotxe
2007,0.0001288593371475697,cotxe
2008,0.0001426289050191001,cotxe
2009,6.806121754477372e-05,cotxe
2010,0.00023323328332246324,cotxe
2011,0.00015040753083967457,cotxe
2012,0.00015367144272356053,cotxe
2013,0.00016538096944406828,cotxe
1996,0.00031200070964867294,internet
1997,3.238635627582812e-06,internet
1998,9.648411871405967e-06,internet
1999,8.72639183768213e-06,internet
2000,8.624525248096156e-05,internet
2001,7.114270318053293e-05,internet
2002,3.6815550888695384e-05,internet
2003,3.366332745160195e-05,internet
2004,3.77002209560776e-05,internet
2005,3.117375069087772e-05,internet
2006,8.135083636680291e-05,internet
2007,0.00011011616083519594,internet
2008,4.6437317913195385e-05,internet
2009,6.923468681278706e-05,internet
2010,5.258350387633717e-05,internet
2011,0.00022315899956103889,internet
2012,5.1223814241186846e-05,internet
2013,6.351587956909868e-05,internet
1839,2.284304543481737e-05,mòbil
1843,0.00010588285121341747,mòbil
1856,9.378223764419019e-05,mòbil
1858,2.5463434508046446e-05,mòbil
1862,8.088913335382525e-06,mòbil
1866,8.08610080133259e-06,mòbil
1873,1.9465099077354303e-05,mòbil
1874,5.136212351563463e-06,mòbil
1877,4.374912501749965e-06,mòbil
1879,2.22087735760012e-05,mòbil
1880,1.04667106268513e-05,mòbil
1883,1.1585471818339801e-05,mòbil
1884,6.201858076679773e-06,mòbil
1885,1.9013304559865767e-05,mòbil
1886,4.6567581202219723e-05,mòbil
1887,1.585556636083041e-05,mòbil
1890,2.364535747051424e-05,mòbil
1892,2.0793190923079056e-05,mòbil
1893,5.460184335823177e-06,mòbil
1895,9.630107568301538e-06,mòbil
1898,3.119978784144268e-06,mòbil
1899,7.2187572187572185e-06,mòbil
1900,7.3529411764705884e-06,mòbil
1901,1.549714852467146e-05,mòbil
1902,1.7114300709673002e-05,mòbil
1903,4.234524928648255e-06,mòbil
1904,1.0515652548818917e-05,mòbil
1905,7.532824281807978e-06,mòbil
1906,9.085677943002514e-06,mòbil
1907,1.1252549405724735e-05,mòbil
1908,7.426698485943735e-06,mòbil
1909,6.4877559825219855e-06,mòbil
1910,3.989260909631273e-06,mòbil
1911,5.659533767608225e-06,mòbil
1912,4.040746891655454e-06,mòbil
1913,1.0014521055530519e-05,mòbil
1914,7.419828750352442e-06,mòbil
1915,4.727148961918088e-06,mòbil
1916,1.0154552285789719e-05,mòbil
1917,3.446986213778638e-06,mòbil
1918,1.1381786864659173e-05,mòbil
1919,3.867683953494968e-06,mòbil
1920,1.822110951980088e-06,mòbil
1923,6.093492454732968e-06,mòbil
1925,4.375975021934575e-06,mòbil
1926,4.485458144694899e-06,mòbil
1927,1.1675798113774814e-05,mòbil
1928,2.78128915533639e-06,mòbil
1929,1.041940175962857e-05,mòbil
1930,8.563794560277694e-06,mòbil
1931,1.387443635102324e-06,mòbil
1932,2.7318769657636426e-05,mòbil
1933,4.487303175664457e-06,mòbil
1935,9.111357877053614e-06,mòbil
1936,1.2137346209709068e-05,mòbil
1937,8.428093194483307e-06,mòbil
1938,9.47790037968469e-06,mòbil
1939,7.068386640749249e-06,mòbil
1940,2.8557231547744836e-05,mòbil
1942,2.1420768148745815e-05,mòbil
1943,8.531840829977476e-06,mòbil
1945,1.4840611828957002e-05,mòbil
1946,5.7320879416932015e-06,mòbil
1947,9.330969487729775e-06,mòbil
1948,5.3381637784234975e-06,mòbil
1950,8.603087935029479e-06,mòbil
1951,5.5317842493507064e-06,mòbil
1952,8.854102105505481e-06,mòbil
1953,1.4186208168418662e-06,mòbil
1954,1.1418549204812233e-06,mòbil
1955,9.31409455358321e-06,mòbil
1956,1.4789563005387098e-05,mòbil
1957,3.1898130131611684e-06,mòbil
1958,2.1540489658410915e-06,mòbil
1959,5.15884957654443e-06,mòbil
1960,1.4069842699158623e-05,mòbil
1961,1.8285395122453967e-05,mòbil
1962,9.645973481289706e-06,mòbil
1963,8.11776166251759e-06,mòbil
1964,5.839597924217591e-06,mòbil
1965,1.7825216620944987e-06,mòbil
1966,1.4388558218504646e-05,mòbil
1967,9.220839096357768e-06,mòbil
1968,1.7673113671257996e-05,mòbil
1969,1.893081889989856e-05,mòbil
1970,3.0345099645720963e-06,mòbil
1971,8.957148999187885e-06,mòbil
1973,1.2057809964091841e-05,mòbil
1974,9.038536932026813e-06,mòbil
1975,2.8774439090267332e-05,mòbil
1976,7.835737860091334e-06,mòbil
1978,3.2498131357446945e-06,mòbil
1979,1.0569791008807278e-05,mòbil
1980,4.048113174449389e-06,mòbil
1981,1.2043825070667145e-06,mòbil
1982,4.204077113985143e-06,mòbil
1983,3.8558379314200666e-06,mòbil
1984,3.6669594122597456e-06,mòbil
1985,1.1607661056297156e-05,mòbil
1986,4.144579511685642e-06,mòbil
1987,3.7333562312515517e-06,mòbil
1989,1.35556459265284e-05,mòbil
1990,1.2464087846891144e-06,mòbil
1991,2.7793990939158956e-05,mòbil
1992,5.310851739228075e-06,mòbil
1993,2.923207343096846e-06,mòbil
1994,6.351106640637715e-06,mòbil
1995,6.642576256775428e-06,mòbil
1996,4.078440649002261e-06,mòbil
1997,9.715906882748436e-06,mòbil
1998,3.6181544517772374e-06,mòbil
1999,5.235835102609279e-06,mòbil
2000,2.3374881513531637e-05,mòbil
2001,8.325209946658109e-06,mòbil
2002,4.8020283767863544e-06,mòbil
2003,2.805277287633496e-05,mòbil
2004,2.048925051960739e-05,mòbil
2005,9.2678718270177e-06,mòbil
2006,1.7186796415521738e-05,mòbil
2007,9.371588156186888e-06,mòbil
2008,2.9852561515625604e-05,mòbil
2009,1.642856975218676e-05,mòbil
2010,4.1557930482911636e-05,mòbil
2011,2.9427560381675458e-05,mòbil
2012,3.962596950733322e-05,mòbil
2013,2.1571430797052383e-05,mòbil
1902,2.852383451612167e-06,automòbil
1906,1.2114237257336685e-05,automòbil
1907,2.8131373514311837e-06,automòbil
1908,7.426698485943735e-06,automòbil
1909,9.731633973782978e-06,automòbil
1910,1.5957043638525092e-05,automòbil
1912,8.081493783310907e-06,automòbil
1913,3.0043563166591557e-05,automòbil
1914,1.1129743125528662e-05,automòbil
1915,7.090723442877132e-06,automòbil
1916,7.61591421434229e-06,automòbil
1917,5.170479320667957e-06,automòbil
1918,2.0234287759394085e-05,automòbil
1919,1.6759963798478194e-05,automòbil
1920,2.550955332772123e-05,automòbil
1921,2.3830063054346843e-05,automòbil
1922,3.052202842618247e-05,automòbil
1923,2.285059670524863e-05,automòbil
1924,7.019914620288431e-05,automòbil
1925,3.719578768644389e-05,automòbil
1926,5.233034502144049e-05,automòbil
1927,1.0216323349552962e-05,automòbil
1928,2.503160239802751e-05,automòbil
1929,1.667104281540571e-05,automòbil
1930,1.712758912055539e-05,automòbil
1931,5.5497745404092956e-05,automòbil
1932,2.9694314845256986e-05,automòbil
1933,4.487303175664457e-06,automòbil
1934,1.0297830418761273e-05,automòbil
1935,3.8723270977477865e-05,automòbil
1936,4.652649380388476e-05,automòbil
1937,3.876922869462322e-05,automòbil
1938,2.8433701139054066e-05,automòbil
1939,1.4136773281498497e-05,automòbil
1940,5.14030167859407e-05,automòbil
1941,0.0001686056314280897,automòbil
1942,7.140256049581938e-06,automòbil
1944,7.281597582509602e-05,automòbil
1945,2.9681223657914003e-05,automòbil
1946,5.7320879416932015e-06,automòbil
1947,9.330969487729775e-06,automòbil
1948,1.2455715482988162e-05,automòbil
1949,1.8676054496727022e-05,automòbil
1950,1.7206175870058958e-05,automòbil
1951,2.489302912207818e-05,automòbil
1952,3.5416408422021925e-05,automòbil
1953,5.674483267367465e-06,automòbil
1954,1.5985968886737127e-05,automòbil
1955,6.209396369055473e-06,automòbil
1956,3.6973907513467744e-06,automòbil
1957,4.465738218425636e-05,automòbil
1958,3.015668552177528e-05,automòbil
1959,1.7196165255148103e-05,automòbil
1960,0.00010552382024368967,automòbil
1961,1.4960777827462337e-05,automòbil
1962,2.8937920443869114e-05,automòbil
1963,2.4353284987552764e-05,automòbil
1964,7.786130565623456e-06,automòbil
1965,1.7825216620944987e-05,automòbil
1966,3.117520947342673e-05,automòbil
1967,1.2294452128477025e-05,automòbil
1968,1.9882252880165244e-05,automòbil
1969,1.7353250658240347e-05,automòbil
1970,4.855215943315354e-05,automòbil
1971,6.568575932737782e-05,automòbil
1972,1.001768837547441e-05,automòbil
1973,7.958154576300615e-05,automòbil
1974,6.1010124291180985e-05,automòbil
1975,1.3428071575458089e-05,automòbil
1976,4.858157473256627e-05,automòbil
1977,4.77305325056859e-06,automòbil
1978,3.2498131357446946e-05,automòbil
1979,2.3782029769816376e-05,automòbil
1980,1.079496846519837e-05,automòbil
1981,1.6861355098934e-05,automòbil
1982,3.503397594987619e-05,automòbil
1983,1.5423351725680266e-05,automòbil
1984,4.3086773094052006e-05,automòbil
1985,1.676662152576256e-05,automòbil
1986,1.4506028290899747e-05,automòbil
1987,7.466712462503103e-06,automòbil
1988,0.00010224919833788247,automòbil
1989,1.8074194568704532e-05,automòbil
1990,3.116021961722786e-05,automòbil
1991,1.344870529314143e-05,automòbil
1992,1.744994142889225e-05,automòbil
1993,1.1692829372387383e-05,automòbil
1994,1.4289989941434858e-05,automòbil
1995,2.125624402168137e-05,automòbil
1996,3.4666745516519215e-05,automòbil
1997,1.9431813765496873e-05,automòbil
1998,1.5678669291034694e-05,automòbil
1999,6.981113470145705e-06,automòbil
2000,1.773266873440331e-05,automòbil
2001,1.210939628604816e-05,automòbil
2002,6.402704502381806e-06,automòbil
2003,9.818470506717236e-06,automòbil
2004,7.376130187058662e-05,automòbil
2005,1.7693209851579244e-05,automòbil
2006,1.3749437132417391e-05,automòbil
2008,1.658475639756978e-05,automòbil
2009,1.17346926801334e-05,automòbil
2010,1.2721815453952541e-05,automòbil
2011,1.0626619026716137e-05,automòbil
2012,3.865948244617876e-06,automòbil
2013,2.7563494907344713e-05,automòbil
